4;2011-09-17 17:45:00;13;20;6;0-0;0;0
5;2011-09-18 17:30:00;15;22;8;0-0;0;0
6;2011-09-17 18:00:00;14;21;16;0-0;0;0
7;2011-09-17 20:00:00;12;19;13;0-0;0;0
8;2011-09-18 19:15:00;1;1;12;0-0;0;0
9;2011-09-17 19:45:00;10;17;15;0-0;0;0
10;2011-09-17 20:00:00;11;18;23;0-0;0;0
11;2011-09-17 20:15:00;7;14;11;0-0;0;0
12;2011-09-24 19:00:00;4;11;1;0-0;0;0
13;2011-09-24 19:30:00;2;8;18;0-0;0;0
14;2011-09-24 19:30:00;6;13;21;0-0;0;0
15;2011-09-24 19:30:00;5;12;19;0-0;0;0
16;2011-09-25 19:00:00;16;23;20;0-0;0;0
17;2011-09-25 18:30:00;8;15;14;0-0;0;0
18;2011-09-25 19:00:00;9;16;22;0-0;0;0
19;2011-10-12 19:00:00;3;6;17;0-0;0;0
20;2011-10-01 17:45:00;13;20;8;0-0;0;0
21;2011-10-01 17:45:00;15;22;13;0-0;0;0
22;2011-10-01 18:00:00;14;21;12;0-0;0;0
23;2011-10-01 19:00:00;12;19;11;0-0;0;0
24;2011-10-02 19:00:00;1;1;15;0-0;0;0
25;2011-10-01 19:45:00;10;17;14;0-0;0;0
26;2011-10-01 20:00:00;11;18;16;0-0;0;0
27;2011-10-02 19:00:00;3;6;23;0-0;0;0
28;2011-10-08 19:00:00;2;8;6;0-0;0;0
29;2011-10-08 19:00:00;4;11;21;0-0;0;0
30;2011-10-08 19:30:00;6;13;18;0-0;0;0
31;2011-10-08 19:30:00;5;12;22;0-0;0;0
32;2011-10-08 20:15:00;7;14;1;0-0;0;0
33;2011-10-09 18:00:00;16;23;17;0-0;0;0
34;2011-10-09 18:30:00;8;15;19;0-0;0;0
35;2011-10-09 19:00:00;9;16;20;0-0;0;0
36;2011-10-15 17:45:00;13;20;13;0-0;0;0
37;2011-10-15 17:45:00;15;22;11;0-0;0;0
38;2011-10-15 18:45:00;14;21;15;0-0;0;0
39;2011-10-15 19:00:00;12;19;14;0-0;0;0
40;2011-10-15 19:45:00;10;17;1;0-0;0;0
41;2011-10-15 20:00:00;11;18;12;0-0;0;0
42;2011-10-16 18:00:00;16;23;8;0-0;0;0
43;2011-10-16 19:00:00;3;6;16;0-0;0;0
44;2011-10-22 19:00:00;2;8;17;0-0;0;0
45;2011-10-22 19:00:00;4;11;18;0-0;0;0
46;2011-10-22 19:15:00;1;1;19;0-0;0;0
47;2011-10-22 19:30:00;6;13;6;0-0;0;0
48;2011-10-22 19:30:00;5;12;20;0-0;0;0
49;2011-10-22 20:15:00;7;14;21;0-0;0;0
50;2011-10-23 19:00:00;8;15;22;0-0;0;0
51;2011-10-23 19:00:00;9;16;23;0-0;0;0
52;2011-10-29 17:45:00;13;20;11;0-0;0;0
53;2011-10-29 17:45:00;15;22;14;0-0;0;0
54;2011-10-29 18:00:00;14;21;1;0-0;0;0
55;2011-10-29 19:00:00;2;8;16;0-0;0;0
56;2011-10-29 19:45:00;10;17;19;0-0;0;0
57;2011-10-29 20:00:00;11;18;15;0-0;0;0
58;2011-10-30 18:00:00;16;23;13;0-0;0;0
59;2011-10-30 19:00:00;3;6;12;0-0;0;0
60;2011-11-05 19:00:00;4;11;6;0-0;0;0
61;2011-11-05 19:00:00;12;19;21;0-0;0;0
62;2011-11-05 19:15:00;1;1;22;0-0;0;0
63;2011-11-05 19:30:00;6;13;8;0-0;0;0
64;2011-11-05 19:30:00;5;12;23;0-0;0;0
65;2011-11-05 20:15:00;7;14;18;0-0;0;0
66;2011-11-06 18:30:00;8;15;20;0-0;0;0
67;2011-11-06 19:00:00;9;16;17;0-0;0;0
68;2011-11-12 17:45:00;15;22;19;0-0;0;0
69;2011-11-13 12:45:00;13;20;14;0-0;0;0
70;2011-11-12 19:00:00;2;8;12;0-0;0;0
71;2011-11-12 19:45:00;10;17;21;0-0;0;0
72;2011-11-12 19:30:00;11;18;1;0-0;0;0
73;2011-11-13 18:00:00;16;23;11;0-0;0;0
74;2011-11-13 19:00:00;3;6;15;0-0;0;0
75;2011-11-13 19:00:00;9;16;13;0-0;0;0
76;2011-11-19 18:00:00;14;21;22;0-0;0;0
77;2011-11-19 19:00:00;4;11;8;0-0;0;0
78;2011-11-19 19:00:00;12;19;18;0-0;0;0
79;2011-11-19 18:30:00;1;1;20;0-0;0;0
80;2011-11-19 19:30:00;6;13;17;0-0;0;0
81;2011-11-19 19:30:00;5;12;16;0-0;0;0
82;2011-11-19 20:15:00;7;14;6;0-0;0;0
83;2011-11-20 18:30:00;8;15;23;0-0;0;0
84;2011-11-26 17:45:00;13;20;19;0-0;0;0
85;2011-11-26 19:00:00;2;8;15;0-0;0;0
86;2011-11-26 19:30:00;6;13;12;0-0;0;0
87;2011-11-27 18:30:00;10;17;22;0-0;0;0
88;2011-11-26 20:00:00;11;18;21;0-0;0;0
89;2011-11-27 18:00:00;16;23;14;0-0;0;0
90;2011-11-27 19:00:00;3;6;1;0-0;0;0
91;2011-11-27 19:00:00;9;16;11;0-0;0;0
92;2011-12-03 17:45:00;15;22;18;0-0;0;0
93;2011-12-03 18:00:00;14;21;20;0-0;0;0
94;2011-12-03 19:00:00;4;11;13;0-0;0;0
95;2011-12-03 19:00:00;12;19;6;0-0;0;0
96;2011-12-03 19:15:00;1;1;23;0-0;0;0
97;2011-12-03 19:30:00;5;12;17;0-0;0;0
98;2011-12-03 20:15:00;7;14;8;0-0;0;0
99;2011-12-03 18:30:00;8;15;16;0-0;0;0
100;2011-12-17 17:45:00;13;20;22;0-0;0;0
101;2011-12-17 19:00:00;2;8;1;0-0;0;0
102;2011-12-17 19:30:00;6;13;15;0-0;0;0
103;2011-12-17 19:30:00;5;12;11;0-0;0;0
104;2011-12-17 19:45:00;10;17;18;0-0;0;0
105;2011-12-18 18:00:00;16;23;19;0-0;0;0
106;2011-12-18 19:00:00;3;6;21;0-0;0;0
107;2011-12-18 19:00:00;9;16;14;0-0;0;0
108;2012-01-14 17:45:00;15;22;6;0-0;0;0
109;2012-01-14 18:00:00;14;21;23;0-0;0;0
110;2012-01-14 19:00:00;12;19;8;0-0;0;0
111;2012-01-14 19:15:00;1;1;16;0-0;0;0
112;2012-01-14 19:45:00;10;17;11;0-0;0;0
113;2012-01-14 20:00:00;11;18;20;0-0;0;0
114;2012-01-14 20:15:00;7;14;13;0-0;0;0
115;2012-01-15 18:30:00;8;15;12;0-0;0;0
116;2012-01-21 17:45:00;13;20;17;0-0;0;0
117;2012-01-21 19:00:00;2;8;21;0-0;0;0
118;2012-01-21 19:00:00;4;11;15;0-0;0;0
119;2012-01-21 19:30:00;6;13;1;0-0;0;0
120;2012-01-21 19:30:00;5;12;14;0-0;0;0
121;2012-01-22 18:00:00;16;23;22;0-0;0;0
122;2012-01-22 19:00:00;3;6;18;0-0;0;0
123;2012-01-23 19:00:00;23;16;19;0-0;0;0
124;2012-01-28 19:00:00;4;11;14;0-0;0;0
125;2012-01-28 19:00:00;2;8;22;0-0;0;0
126;2012-01-28 19:30:00;5;12;1;0-0;0;0
127;2012-01-28 19:30:00;6;13;19;0-0;0;0
128;2012-01-29 18:00:00;16;23;18;0-0;0;0
129;2012-01-29 18:30:00;8;15;17;0-0;0;0
130;2012-01-29 19:00:00;3;6;20;0-0;0;0
131;2012-01-29 19:00:00;23;16;21;0-0;0;0
132;2012-02-04 17:45:00;13;20;23;0-0;0;0
133;2012-02-04 17:45:00;15;22;16;0-0;0;0
134;2012-02-04 18:00:00;14;21;13;0-0;0;0
135;2012-02-04 19:00:00;12;19;12;0-0;0;0
136;2012-02-04 19:15:00;1;1;11;0-0;0;0
137;2012-02-04 19:45:00;10;17;6;0-0;0;0
138;2012-02-04 20:00:00;11;18;8;0-0;0;0
139;2012-02-04 20:15:00;7;14;15;0-0;0;0
140;2012-02-11 19:00:00;2;8;20;0-0;0;0
141;2012-02-11 19:00:00;4;11;19;0-0;0;0
142;2012-02-11 19:30:00;5;12;21;0-0;0;0
143;2012-02-11 19:30:00;6;13;22;0-0;0;0
144;2012-02-11 20:15:00;7;14;17;0-0;0;0
145;2012-02-12 18:00:00;16;23;6;0-0;0;0
146;2012-02-12 18:30:00;8;15;1;0-0;0;0
147;2012-02-12 19:00:00;9;16;18;0-0;0;0
148;2012-02-18 17:45:00;13;20;16;0-0;0;0
149;2012-02-18 17:45:00;15;22;12;0-0;0;0
150;2012-02-18 18:00:00;14;21;11;0-0;0;0
151;2012-02-18 19:00:00;12;19;15;0-0;0;0
152;2012-02-18 19:15:00;1;1;14;0-0;0;0
153;2012-02-18 19:45:00;10;17;23;0-0;0;0
154;2012-02-18 20:00:00;11;18;13;0-0;0;0
155;2012-02-19 19:00:00;3;6;8;0-0;0;0
156;2012-02-25 19:00:00;2;8;23;0-0;0;0
157;2012-02-25 19:00:00;4;11;22;0-0;0;0
158;2012-02-25 19:15:00;1;1;17;0-0;0;0
159;2012-02-25 19:30:00;6;13;20;0-0;0;0
160;2012-02-25 19:30:00;5;12;18;0-0;0;0
161;2012-02-25 20:15:00;7;14;19;0-0;0;0
162;2012-02-26 18:30:00;8;15;21;0-0;0;0
163;2012-02-26 19:00:00;9;16;6;0-0;0;0
164;2012-03-03 17:45:00;13;20;12;0-0;0;0
165;2012-03-03 17:45:00;15;22;15;0-0;0;0
166;2012-03-03 18:00:00;14;21;14;0-0;0;0
167;2012-03-03 19:45:00;12;19;1;0-0;0;0
168;2012-03-04 19:45:00;10;17;8;0-0;0;0
169;2012-03-03 20:00:00;11;18;11;0-0;0;0
170;2012-03-04 18:00:00;16;23;16;0-0;0;0
171;2012-03-04 19:00:00;3;6;13;0-0;0;0
172;2012-03-10 19:00:00;4;11;20;0-0;0;0
173;2012-03-10 19:00:00;12;19;17;0-0;0;0
174;2012-03-10 19:15:00;1;1;21;0-0;0;0
175;2012-03-10 19:30:00;5;12;6;0-0;0;0
176;2012-03-10 19:30:00;6;13;23;0-0;0;0
177;2012-03-10 20:15:00;7;14;22;0-0;0;0
178;2012-03-11 18:30:00;8;15;18;0-0;0;0
179;2012-03-11 19:00:00;9;16;8;0-0;0;0
180;2012-03-17 17:45:00;13;20;15;0-0;0;0
181;2012-03-17 17:45:00;15;22;1;0-0;0;0
182;2012-03-17 18:00:00;14;21;19;0-0;0;0
183;2012-03-17 19:00:00;2;8;13;0-0;0;0
184;2012-03-17 19:45:00;10;17;16;0-0;0;0
185;2012-03-17 20:00:00;11;18;14;0-0;0;0
186;2012-03-18 18:00:00;16;23;12;0-0;0;0
187;2012-03-18 19:00:00;3;6;11;0-0;0;0
188;2012-03-24 18:00:00;14;21;17;0-0;0;0
189;2012-03-24 19:00:00;4;11;23;0-0;0;0
190;2012-03-24 19:00:00;12;19;22;0-0;0;0
191;2012-03-24 19:15:00;1;1;18;0-0;0;0
192;2012-03-24 19:30:00;5;12;8;0-0;0;0
193;2012-03-24 19:30:00;6;13;16;0-0;0;0
194;2012-03-24 20:15:00;7;14;20;0-0;0;0
195;2012-03-25 18:30:00;8;15;6;0-0;0;0
196;2012-03-31 17:45:00;13;20;1;0-0;0;0
197;2012-03-31 17:45:00;15;22;21;0-0;0;0
198;2012-03-31 19:00:00;2;8;11;0-0;0;0
199;2012-03-31 19:45:00;10;17;13;0-0;0;0
200;2012-03-31 20:00:00;11;18;19;0-0;0;0
201;2012-04-01 18:00:00;16;23;15;0-0;0;0
202;2012-04-01 19:00:00;9;16;12;0-0;0;0
203;2012-04-01 19:00:00;3;6;14;0-0;0;0
204;2012-04-14 17:45:00;15;22;17;0-0;0;0
205;2012-04-14 18:00:00;14;21;18;0-0;0;0
206;2012-04-14 19:00:00;12;19;20;0-0;0;0
207;2012-04-14 19:00:00;4;11;16;0-0;0;0
208;2012-04-14 19:15:00;1;1;6;0-0;0;0
209;2012-04-14 19:30:00;5;12;13;0-0;0;0
210;2012-04-14 20:15:00;7;14;23;0-0;0;0
211;2012-04-15 18:30:00;8;15;8;0-0;0;0
212;2012-04-21 17:45:00;13;20;21;0-0;0;0
213;2012-04-21 19:00:00;2;8;14;0-0;0;0
214;2012-04-21 19:30:00;6;13;11;0-0;0;0
215;2012-04-21 19:45:00;10;17;12;0-0;0;0
216;2012-04-21 20:00:00;11;18;22;0-0;0;0
217;2012-04-22 18:00:00;16;23;1;0-0;0;0
218;2012-04-22 19:00:00;9;16;15;0-0;0;0
219;2012-04-22 19:00:00;3;6;19;0-0;0;0
220;2012-04-28 17:45:00;15;22;20;0-0;0;0
221;2012-04-28 18:00:00;14;21;6;0-0;0;0
222;2012-04-28 19:00:00;12;19;23;0-0;0;0
223;2012-04-28 19:00:00;4;11;12;0-0;0;0
224;2012-04-28 19:15:00;1;1;8;0-0;0;0
225;2012-04-28 20:00:00;11;18;17;0-0;0;0
226;2012-04-28 20:15:00;7;14;16;0-0;0;0
227;2012-04-29 18:30:00;8;15;13;0-0;0;0
228;2012-05-05 17:45:00;13;20;18;0-0;0;0
229;2012-05-05 19:00:00;2;8;19;0-0;0;0
230;2012-05-05 19:00:00;4;11;17;0-0;0;0
231;2012-05-05 19:30:00;5;12;15;0-0;0;0
232;2012-05-05 19:30:00;6;13;14;0-0;0;0
233;2012-05-06 18:00:00;16;23;21;0-0;0;0
234;2012-05-06 19:00:00;9;16;1;0-0;0;0
235;2012-05-06 19:00:00;3;6;22;0-0;0;0
236;2012-05-12 17:45:00;15;22;23;0-0;0;0
237;2012-05-12 18:00:00;14;21;8;0-0;0;0
238;2012-05-12 19:00:00;12;19;16;0-0;0;0
239;2012-05-12 19:15:00;1;1;13;0-0;0;0
240;2012-05-12 19:45:00;10;17;20;0-0;0;0
241;2012-05-12 20:00:00;11;18;6;0-0;0;0
242;2012-05-12 20:15:00;7;14;12;0-0;0;0
243;2012-05-13 18:30:00;8;15;11;0-0;0;0
